Month,ID,Annual_Income,Monthly_Inhand_Salary,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Amount_invested_monthly,Monthly_Balance
February,302,96275.84,8101.986667,19,24,,999.36,36.86495685,0,897.7089303
March,302,96275.84,8101.986667,19,3,3,999.36,32.09475286,187.6973828,797.539947
April,302,96275.84,8101.986667,19,3,0,999.36,30.00696045,598.2463611,426.9909687
May,302,96275.84,8101.986667,19,4,3,999.36,38.81916502,287.4350579,717.802272
June,302,96275.84,8101.986667,19,5,3,999.36,35.02903695,472.1294437,533.1078861
January,303,57219.92,4511.326667,33,3,3,4935.76,31.64836156,10000,327.1006707
February,303,57219.92,4511.326667,33,3,3,4935.76,26.00505418,150.1177375,391.7191049
March,303,57219.92,4511.326667,33,-1,,4935.76,26.38603801,0,195.9407533
April,303,57219.92,4511.326667,33,3,,4935.76,39.31417541,218.8882329,352.9486096
May,303,57219.92,4511.326667,33,0,8,4935.76,41.4513038,76.24300407,465.5938384
June,303,57219.92,4511.326667,33,1,8,4935.76,35.29294862,417.6121083,154.2247342
January,304,80591.2,6453.933333,32,1,8,2024.84,25.86304545,512.9191895,314.5768861
February,304,80591.2,6453.933333,32,1,8,2024.84,31.09206148,653.1526743,174.3434014
March,304,80591.2,6453.933333,32,1,8,2024.84,30.68590475,133.6741155,663.8219601
April,304,80591.2,6453.933333,32,1,7,2024.84,31.05761873,496.1273305,331.3687451
May,304,80591.2,6453.933333,32,5,,2024.84,28.02563436,193.355651,604.1404247
June,304,80591.2,6453.933333,32,1,,2024.84,36.04651025,613.7810167,213.715059
January,305,73434.92,5849.576667,5,10,0,192.45,34.83859367,137.1585196,493.3689687
February,305,73434.92,5849.576667,5,10,1,192.45,36.1086868,131.5162914,479.0111969
March,305,73434.92,5849.576667,5,10,1,192.45,25.86800318,0,
April,305,73434.92,5849.576667,5,10,4,192.45,33.50086296,562.4491165,98.07837174
May,305,73434.92,5849.576667,5,11,4,192.45,23.62059845,10000,263.7883286
June,305,73434.92,5849.576667,5,10,4,192.45,27.38044179,470.7278529,169.7996354
January,306,53916.84,4735.07,28,10,,2560.45,38.33959106,0,3.512807587
February,306,53916.84,4735.07,28,10,,2560.45,30.54932501,207.691648,225.5853114
March,306,53916.84,4735.07,28,22,10,2560.45,31.68540978,231.3024053,211.9745541
April,306,53916.84,4735.07,28,21,13,2560.45,29.98530902,82.4879027,340.7890567
May,306,53916.84,4735.07,28,21,10,2560.45,39.40657473,169.8803677,253.3965917
June,306,53916.84,4735.07,28,21,10,2560.45,34.91951337,163.5861726,259.6907868
January,307,53071.47,4656.6225,21,21,12,1740.38,36.26215986,60.72245822,446.4563437
February,307,53071.47,4656.6225,21,21,11,1740.38,29.99882275,77.57109206,429.6077099
March,307,53071.47,4656.6225,21,21,,1740.38,32.13739225,451.5421441,95.63665782
April,307,53071.47,4656.6225,21,23,,1740.38,25.45298988,76.30682513,420.8719768
May,307,53071.47,4656.6225,21,27,19,1740.38,32.76322061,215.979395,321.199407
June,307,53071.47,4656.6225,21,27,17,1740.38,37.73826282,182.3194493,334.8593526
January,308,69692.16,6034.68,32,26,18,2128.87,26.79924889,121.8483595,335.7402473
February,308,69692.16,6034.68,32,25,18,2128.87,27.18427743,10000,186.3521003
March,308,69692.16,6034.68,32,27,0,2128.87,32.73365882,99.85887515,347.7297317
April,308,69692.16,6034.68,32,26,18,2128.87,26.75124852,10000,258.1306176
May,308,69692.16,6034.68,32,27,,2128.87,29.51343015,252.9426653,204.6459415
June,308,69692.16,6034.68,32,27,,2128.87,28.50645994,258.9739483,208.6146586
January,309,15735.68,1043.306667,7,16,12,1574.91,32.42520937,10000,309.8095381
February,309,15735.68,1043.306667,7,22,14,1574.91,28.42267116,30.63041905,322.3440628
March,309,15735.68,1043.306667,7,21,12,1574.91,23.2047954,51.12416516,301.8503167
April,309,15735.68,1043.306667,7,21,13,1574.91,31.5897405,101.084499,271.8899828
May,309,15735.68,1043.306667,7,21,12,1574.91,31.30750079,42.1256533,290.8488285
June,309,15735.68,1043.306667,7,21,12,1574.91,28.91158726,101.2555231,271.7189587
January,310,20502.64,1588.553333,28,21,,4182.21,32.71470197,68.0771681,263.3160242
February,310,20502.64,1588.553333,28,18,,4182.21,24.33770964,201.1728577,160.2203346
March,310,20502.64,1588.553333,28,10,0,4182.21,25.12687838,148.7138907,212.6793016
April,310,20502.64,1588.553333,28,10,0,4182.21,34.49616325,117.1593531,244.2338392
May,310,20502.64,1588.553333,28,5,3,4182.21,34.715337,119.267897,242.1252953
June,310,20502.64,1588.553333,28,5,0,4182.21,25.94442492,63.96982525,277.4233671
January,311,55662.64,4900.553333,6,7,0,1078.02,26.97982892,423.729524,265.3758638
February,311,55662.64,4900.553333,6,10,0,1078.02,36.84437481,139.3655821,509.7398056
March,311,55662.64,4900.553333,6,10,,1078.02,28.31822426,44.57131426,594.5340735
April,311,55662.64,4900.553333,6,10,,1078.02,34.13460737,77.64173629,571.4636515
May,311,55662.64,4900.553333,6,25,18,1078.02,38.69836479,339.3782531,349.7271346
June,311,55662.64,4900.553333,6,25,15,1078.02,37.21961663,204.8036289,454.3017589
January,312,19758.84,1901.57,32,25,16,1352.88,24.61385176,39.60399979,338.8582604
February,312,19758.84,1901.57,32,25,15,1352.88,33.82384274,0,284.8232874
March,312,19758.84,1901.57,32,25,18,1352.88,37.56938827,71.16605209,307.2962081
April,312,19758.84,1901.57,32,25,18,1352.88,38.0330947,70.90258244,297.5596777
May,312,19758.84,1901.57,32,25,,1352.88,29.49994573,156.064738,252.3975221
June,312,19758.84,1901.57,32,25,,1352.88,35.34448591,51.30001566,317.1622445
January,313,55000.62,4526.385,12,29,17,815.35,25.69837462,115.8077544,576.8307456
February,313,55000.62,4526.385,12,29,16,815.35,26.10975903,66.67637344,635.9621266
March,313,55000.62,4526.385,12,29,16,815.35,36.73896575,238.3169155,474.3215845
April,313,55000.62,4526.385,12,29,17,815.35,40.27927892,384.9574075,337.6810925
May,313,55000.62,4526.385,12,25,18,815.35,40.58150123,343.8246379,398.8138621
June,313,55000.62,4526.385,12,24,16,815.35,30.20528474,600.5157206,142.1227794
January,314,10352.745,861.72875,6,29,,343.41,35.87601682,30.77363547,308.7698626
February,314,10352.745,861.72875,6,29,,343.41,30.80812489,78.88989848,250.6535995
March,314,10352.745,861.72875,6,16,18,343.41,35.99482434,102.841486,236.702012
April,314,10352.745,861.72875,6,16,18,343.41,37.4221037,56.00327691,283.5402211
May,314,10352.745,861.72875,6,19,15,343.41,39.58099898,71.6905836,267.8529144
June,314,10352.745,861.72875,6,16,18,343.41,26.88143495,89.08421224,250.4592858
January,315,50811.27,4387.2725,20,16,18,1274.59,27.20809798,86.26076834,495.1370181
February,315,50811.27,4387.2725,20,16,18,1274.59,34.9571975,211.9968361,389.4009503
March,315,50811.27,4387.2725,20,19,,1274.59,24.70910186,257.0148922,364.3828943
April,315,50811.27,4387.2725,20,16,,1274.59,25.90052163,114.9084207,466.4893657
May,315,50811.27,4387.2725,20,26,0,1274.59,33.54365955,112.5710723,468.8267141
June,315,50811.27,4387.2725,20,29,15,1274.59,32.43121733,44.45414946,526.943637
January,316,59448.04,4870.003333,23,26,15,3825.82,28.41107636,273.5780408,289.5878614
February,316,59448.04,4870.003333,23,23,17,3825.82,28.15267287,210.4452026,362.7206996
March,316,59448.04,4870.003333,23,31,16,3825.82,32.49179779,0,492.8741035
April,316,59448.04,4339.36173,23,22,15,3825.82,30.14869082,565.4289733,27.73692894
May,316,59448.04,4339.36173,23,26,,3825.82,24.31122779,290.3177977,292.8481046
June,316,59448.04,4339.36173,23,26,,3825.82,30.94823768,0,149.9906632
January,317,18549.28,1698.773333,6,31,10,1247.3,32.9616636,98.89260912,340.9847242
February,317,18549.28,1698.773333,6,27,7,1247.3,32.90267401,17.64112298,392.2362104
March,317,18549.28,1698.773333,6,29,10,1247.3,28.12386762,81.43914072,378.4381926
April,317,18549.28,1698.773333,6,27,10,1247.3,35.31401117,50.39486694,399.4824664
May,317,18549.28,1698.773333,6,27,10,1247.3,26.40603353,28.29478712,391.5825462
June,317,18549.28,1698.773333,6,27,10,1247.3,36.65438819,129.5064735,330.3708599
January,318,134810.13,10998.1775,6,27,,744.97,29.87962269,806.8608461,373.1148054
February,318,134810.13,10998.1775,6,30,,744.97,29.87176362,766.7799329,413.1957186
March,318,134810.13,10998.1775,6,7,17,744.97,40.73910114,325.2486865,834.726965
April,318,134810.13,10998.1775,6,4,17,744.97,36.25644555,652.5902258,527.3854257
May,318,134810.13,10998.1775,6,5,18,744.97,43.13051049,312.7363581,867.2392934
June,318,134810.13,10998.1775,6,5,17,744.97,38.92442299,279.6363767,870.3392748
January,319,162550.32,13731.86,11,9,16,789.13,36.5283912,146.0267596,1400.976936
February,319,162550.32,13731.86,11,5,17,789.13,36.02308694,322.9702887,1214.033407
March,319,162550.32,13731.86,11,5,,789.13,35.04406228,101.6600796,1435.343616
April,319,162550.32,13731.86,11,5,,789.13,47.96956024,241.0992135,1315.904482
May,319,162550.32,13731.86,11,30,11,789.13,35.80246147,0,1072.552925
June,319,162550.32,13731.86,11,30,11,789.13,38.03282138,571.4854909,975.5182045
January,320,102596.64,8718.72,8,26,11,1033.59,41.49850224,211.7125666,900.1594334
February,320,102596.64,8718.72,8,33,11,1033.59,44.22447855,135.5267124,976.3452876
March,320,102596.64,8718.72,8,25,3815,1033.59,27.51797771,190.8314049,921.0405951
April,320,102596.64,8718.72,8,34,14,1033.59,44.93121975,195.0625204,916.8094796
May,320,102596.64,8718.72,8,27,,1033.59,46.2937028,61.64215703,1050.229843
June,320,102596.64,8718.72,8,35,,1033.59,39.87407899,64.15779849,1047.714202
January,321,14884.465,1538.372083,1,31,25,1122.86,26.31939198,57.72786348,338.3225064
February,321,14884.465,1538.372083,1,34,24,1122.86,38.93601916,131.07955,274.9708199
March,321,14884.465,1538.372083,1,34,25,1122.86,35.54806105,171.7102297,234.3401401
April,321,14884.465,1538.372083,1,34,23,1122.86,35.14489108,55.58661182,340.463758
May,321,14884.465,1538.372083,1,34,0,1122.86,29.29814927,128.2418398,267.8085301
June,321,14884.465,1538.372083,1,34,25,1122.86,28.82336882,165.4691676,240.5812022
January,322,31732.61,2899.384167,1,29,,1404.06,39.9291405,39.35478893,399.66822
February,322,31732.61,2899.384167,1,38,,1404.06,23.40744887,92.53224266,376.4907663
March,322,31732.61,2899.384167,1,64,17,1404.06,29.54729677,51.48058165,377.5424273
April,322,31732.61,2899.384167,1,61,17,1404.06,30.14333948,127.4011606,351.6218484
May,322,31732.61,2899.384167,1,59,17,1404.06,27.78039054,70.23296462,358.7900443
June,322,31732.61,2899.384167,1,57,15,1404.06,33.70987478,255.9691484,213.0538605
January,323,50847.22,4156.268333,17,59,14,486.71,28.16592179,146.2525941,525.5903611
February,323,50847.22,4156.268333,17,59,17,486.71,32.60012371,112.1982194,539.6447358
March,323,50847.22,4156.268333,17,59,,486.71,29.98192277,54.53134806,577.3116071
April,323,50847.22,4156.268333,17,59,,486.71,42.37251786,104.8698746,526.9730806
May,323,50847.22,4156.268333,17,12,13,486.71,33.72492552,400.1931517,271.6498035
June,323,50847.22,4156.268333,17,12,13,486.71,30.7492159,293.4234473,378.4195079
January,324,9349.475,772.1229167,19,12,10,4833.08,23.68663313,35.73150545,259.4156512
February,324,9349.475,772.1229167,19,12,13,4833.08,26.97107875,46.56537263,268.581784
March,324,9349.475,772.1229167,19,12,14,4833.08,35.73122996,16.8415769,258.3055797
April,324,9349.475,772.1229167,19,10,0,4833.08,33.55276575,47.13656835,268.0105883
May,324,9349.475,772.1229167,19,12,,4833.08,34.89284185,37.78970502,277.3574516
June,324,9349.475,772.1229167,19,12,,4833.08,34.98613157,39.58768095,265.5594757
January,325,135115.44,11444.62,18,30,7,269.46,35.74443414,10000,886.2938642
February,325,135115.44,11444.62,18,30,0,269.46,34.85955013,1079.474357,150.3694199
March,325,135115.44,11444.62,18,30,7,269.46,31.24785577,1048.397194,161.4465826
April,325,135115.44,11444.62,18,34,8,269.46,31.68657487,183.5209924,996.322784
May,325,135115.44,11444.62,18,29,8,269.46,39.6510773,288.6554033,901.1883731
June,325,135115.44,11444.62,18,34,11,269.46,42.55547608,479.6036351,740.2401413
January,326,66169.56,5799.13,12,30,,198.53,31.52048941,127.9396928,575.1838457
February,326,66169.56,5799.13,12,30,,198.53,28.37863502,344.6720228,368.4515157
March,326,66169.56,5799.13,12,20,11,198.53,30.29485373,41.67108038,651.4524581
April,326,66169.56,5799.13,12,17,13,198.53,40.01564884,0,532.8750022
May,326,66169.56,5799.13,12,20,13,198.53,27.6248603,217.122165,516.0013735
June,326,66169.56,5799.13,12,20,13,198.53,26.78424596,484.2706322,238.8529063
January,327,56760.51,4999.0425,19,20,16,4701.09,34.60750805,72.29548058,276.4873853
February,327,56760.51,4999.0425,19,20,10,4701.09,31.71257459,238.0492226,150.7336433
March,327,56760.51,4999.0425,19,20,,4701.09,33.56193533,165.7624041,183.0204618
April,327,56760.51,4999.0425,19,20,,4701.09,34.97457372,55.91007241,292.8727935
May,327,56760.51,4999.0425,19,8,8,4701.09,34.25408858,622.1943163,
June,327,56760.51,4999.0425,19,8,8,4701.09,36.77028101,459.1717358,
January,328,108223.62,8775.635,7,8,5,977.19,34.30884371,1134.73594,
February,328,108223.62,8775.635,7,8,7,977.19,35.38110109,227.8256118,761.8086747
March,328,108223.62,8775.635,7,3,7,977.19,29.16380909,314.8937787,724.7405078
April,328,108223.62,8775.635,7,8,5,977.19,31.20278392,159.7722026,829.8620839
May,328,108223.62,8775.635,7,6,,977.19,37.18354611,218.2998588,771.3344277
June,328,108223.62,8775.635,7,8,,977.19,32.83578984,538.8080231,500.8262634
January,329,53098.47,4197.8725,24,10,8,3403.23,27.42572763,51.2605352,338.3240952
February,329,53098.47,4197.8725,24,10,5,3403.23,30.88697281,10000,138.9406535
March,329,53098.47,4197.8725,24,9,8,3403.23,38.45881035,169.2463396,240.3382907
April,329,53098.47,4197.8725,24,10,0,3403.23,32.91510969,0,308.2985357
May,329,53098.47,4197.8725,24,10,8,3403.23,24.05961625,238.3533639,201.2312665
June,329,53098.47,4197.8725,24,5,8,3403.23,35.76150911,358.2013433,61.38328711
January,330,17853.5,1226.791667,12,10,,990.35,36.48677323,87.85641268,306.8000505
February,330,17853.5,1226.791667,12,10,,990.35,30.65523168,54.08347267,320.5729905
March,330,17853.5,1226.791667,12,17,14,990.35,26.46739144,116.2828953,278.3735679
April,330,17853.5,1226.791667,12,13,14,990.35,37.48163022,80.95095566,313.7055075
May,330,17853.5,1226.791667,12,17,14,990.35,38.46016677,75.73728609,308.919177
June,330,17853.5,1226.791667,12,19,14,990.35,27.5938286,106.6376179,268.0188452
January,331,16813.54,1101.128333,33,18,14,3520.79,32.13503693,52.0155821,255.1561363
February,331,16813.54,1101.128333,33,22,0,3520.79,32.53949628,99.935238,187.2364804
March,331,16813.54,1101.128333,33,22,,3520.79,36.73631362,130.6624524,176.509266
April,331,16813.54,1101.128333,33,17,,3520.79,23.56129771,59.16643489,248.0052835
May,331,16813.54,1101.128333,33,15,15,3520.79,28.31513605,124.498427,182.6732914
June,331,16813.54,1101.128333,33,10,15,3520.79,24.37168979,101.6904418,205.4812766
January,332,68665.76,5619.146667,13,15,15,420.02,38.63061576,315.9726071,196.2759976
February,332,68665.76,5619.146667,13,15,15,420.02,31.5451192,180.8168859,301.4317189
March,332,68665.76,5619.146667,13,15,15,420.02,32.25378233,635.5601402,
April,332,68665.76,5619.146667,13,15,15,420.02,35.79469564,434.9668892,87.28171557
May,332,68665.76,5619.146667,13,15,,420.02,40.94151457,118.6102026,363.6384021
June,332,68665.76,5619.146667,13,16,,420.02,24.42680103,281.7888045,210.4598003
January,333,22500.52,1770.043333,19,7,8,864.7,34.6659351,174.4491265,227.5341807
February,333,22500.52,1770.043333,19,12,6,864.7,27.02276475,41.79090909,330.1923981
March,333,22500.52,1770.043333,19,11,8,864.7,35.32607566,197.73304,204.2502672
April,333,22500.52,1770.043333,19,7,8,864.7,26.85868224,51.09396182,320.8893454
May,333,22500.52,1770.043333,19,8,8,864.7,28.83576174,52.28291318,319.700394
June,333,22500.52,1770.043333,19,7,11,864.7,39.42229751,57.08209535,304.9012119
January,334,15305.46,1230.455,2,4,,642.42,37.76381085,132.3098739,260.4339722
February,334,15305.46,1230.455,2,7,,642.42,34.49804409,75.64273717,317.101109
March,334,15305.46,1230.455,2,18,13,642.42,36.35520068,103.4551466,289.2886995
April,334,15305.46,1230.455,2,20,13,642.42,34.79348795,160.2879817,232.4558644
May,334,15305.46,1230.455,2,20,15,642.42,32.6711522,0,333.4204666
June,334,15305.46,1230.455,2,20,0,642.42,39.32159761,79.00742355,313.7364226
January,335,15544.47,1230.455,32,20,15,2909.71,36.72950022,26.46895035,291.3115014
February,335,15544.47,1030.3725,32,20,14,2909.71,30.88178096,129.7135339,228.0669178
March,335,15544.47,1030.3725,32,20,,2909.71,37.21163915,87.09076722,270.6896845
April,335,15544.47,1030.3725,32,20,,2909.71,34.03557395,125.2340647,232.546387
May,335,15544.47,1030.3725,32,14,3,2909.71,24.46833339,135.0161817,222.76427
June,335,15544.47,1030.3725,32,14,2,2909.71,34.42975239,72.24402102,285.5364307
January,336,99089.52,8309.46,9,14,2,338.95,29.17466092,670.0521236,383.7326469
February,336,99089.52,8309.46,9,19,2,338.95,38.07573563,645.614654,408.1701165
March,336,99089.52,8309.46,9,14,2,338.95,37.49406279,402.917018,650.8677525
April,336,99089.52,8309.46,9,14,2,338.95,36.22652948,846.3415521,207.4432184
May,336,99089.52,8309.46,9,9,,338.95,42.51529121,147.803693,865.9810775
June,336,99089.52,8309.46,9,19,,338.95,29.88711686,408.9073828,644.8773877
January,337,9307.24,1013.603333,15,30,14,486.05,32.39622858,10000,259.0623706
February,337,9307.24,1013.603333,15,29,12,486.05,39.80424325,43.86994874,306.6031886
March,337,9307.24,1013.603333,15,35,12,486.05,34.550703,53.74478574,306.7283516
April,337,9307.24,1013.603333,15,30,12,486.05,30.85429745,44.68282975,305.7903075
May,337,9307.24,1013.603333,15,25,12,486.05,32.84606547,43.91726929,316.555868
June,337,9307.24,1013.603333,15,30,12,486.05,25.13319496,101.3431312,269.1300061
January,338,134316.2,11429.01667,11,30,,1383.6,27.41588318,1027.04614,395.8555268
February,338,134316.2,11429.01667,11,27,,1383.6,41.76865775,840.1671469,582.7345197
March,338,134316.2,11429.01667,11,60,24,1383.6,44.59204849,273.3993688,1109.502298
April,338,134316.2,11429.01667,11,65,25,1383.6,24.62768676,889.4561242,543.4455425
May,338,134316.2,11429.01667,11,60,0,1383.6,37.96156962,277.3982484,1105.503418
June,338,134316.2,11429.01667,11,60,25,1383.6,27.1412206,1034.636518,378.2651484
January,339,38685.98,3360.831667,3,57,25,1340.41,36.50312515,148.4273514,425.0533
February,339,38685.98,3360.831667,3,59,0,1340.41,38.50561558,10000,476.6012845
March,339,38685.98,3360.831667,3,60,,1340.41,34.13396548,448.4877945,124.9928569
April,339,38685.98,3360.831667,3,60,,1340.41,25.52958446,205.4115205,348.0691309
May,339,38685.98,3360.831667,3,1,2,1340.41,33.7293762,89.7804197,463.7002318
June,339,38685.98,3360.831667,3,1,4,1340.41,35.05704373,174.6612873,368.8193641
January,340,69933.98,5561.831667,5,5,3,1446.37,28.44219112,262.1556232,497.6263853
February,340,69933.98,5561.831667,5,1,4,1446.37,28.92677698,71.40054764,648.3814608
March,340,69933.98,5561.831667,5,-2,0,1446.37,30.60913067,290.5051451,449.2768634
April,340,69933.98,5561.831667,5,1,4,1446.37,25.58847691,139.9840301,599.7979784
May,340,69933.98,5561.831667,5,1,,1446.37,33.99993719,184.3643665,545.4176419
June,340,69933.98,5561.831667,5,1,,1446.37,36.21743027,146.0099153,573.7720932
January,341,21075.36,1904.28,5,7,8,1498.02,41.12891217,119.4000237,311.6806648
February,341,21075.36,1904.28,5,7,8,1498.02,32.18994706,50.53160002,370.5490885
March,341,21075.36,1904.28,5,7,8,1498.02,34.86942815,21.95705958,389.1236289
April,341,21075.36,1904.28,5,7,8,1498.02,31.59037685,55.17302526,365.9076633
May,341,21075.36,1904.28,5,9,8,1498.02,25.52809985,116.2318916,344.848797
June,341,21075.36,1904.28,5,6,10,1498.02,36.37820747,250.0914613,210.9892272
January,342,60843.33,4902.2775,14,8,,1494.43,29.95727574,39.14685837,539.1020421
February,342,60843.33,4902.2775,14,7,,1494.43,35.958286,197.5291002,390.7198002
March,342,60843.33,4902.2775,14,27,14,1494.43,29.68614109,240.8474729,387.4014275
April,342,60843.33,4902.2775,14,22,14,1494.43,23.28617556,660.1416343,
May,342,60843.33,4902.2775,14,22,14,1494.43,30.66765048,528.4542278,99.79467265
June,342,60843.33,4902.2775,14,22,15,1494.43,36.23932295,82.50761512,505.7412853
January,343,15091.03,1480.585833,26,22,14,3247.42,38.06854044,63.26759253,281.1737899
February,343,15091.03,1480.585833,26,22,14,3247.42,34.70475274,29.44017907,265.0012033
March,343,15091.03,1480.585833,26,22,,3247.42,32.06143988,95.84028212,248.6011003
April,343,15091.03,1480.585833,26,22,,3247.42,24.22741058,104.4795442,229.9618382
May,343,15091.03,1480.585833,26,16,12,3247.42,30.55391153,189.5674099,154.8739725
June,343,15091.03,1480.585833,26,16,12,3247.42,31.50787508,0,259.0864146
January,344,54987.52,4762.293333,10,16,12,1263.12,40.18505087,208.1867557,528.0425777
February,344,54987.52,4762.293333,10,16,12,1263.12,25.76132003,119.3812883,596.848045
March,344,54987.52,4762.293333,10,16,12,1263.12,36.79774166,163.9431098,592.2862236
April,344,54987.52,4762.293333,10,16,9,1263.12,32.45230044,192.2321859,533.9971475
May,344,54987.52,4762.293333,10,16,,1263.12,26.65785559,128.2645272,597.9648061
June,344,54987.52,4762.293333,10,12,,1263.12,25.08013683,387.6273812,378.6019522
January,345,7506.125,872.5104167,22,31,12,4183.22,25.04460412,26.84429789,307.4983325
February,345,7506.125,872.5104167,22,27,12,4183.22,35.16460735,10000,296.5542095
March,345,7506.125,872.5104167,22,24,12,4183.22,31.83445848,106.7212883,247.6213421
April,345,7506.125,872.5104167,22,27,12,4183.22,25.31817714,72.33579642,272.006834
May,345,7506.125,872.5104167,22,27,10,4183.22,24.12045707,65.51465329,288.8279771
June,345,7506.125,802.5644817,22,27,14,4183.22,36.60015747,66.28412561,288.0585048
January,346,17448.08,802.5644817,20,27,,2575.23,34.87888323,18.18126405,268.4645345
February,346,17448.08,1315.006667,20,27,,2575.23,23.89831265,10000,213.7674567
March,346,17448.08,1315.006667,20,13,11,2575.23,28.41069857,19.26805963,267.3777389
April,346,17448.08,1315.006667,20,13,9,2575.23,23.25115385,88.38235343,208.2634451
May,346,17448.08,1315.006667,20,10,6,2575.23,29.39467528,68.02684533,248.6189532
June,346,17448.08,1315.006667,20,13,9,2575.23,28.2317063,72.64589498,243.9999035
January,347,42241.19,3231.099167,11,13,9,190.04,36.15598628,129.0859843,444.0239323
February,347,42241.19,3231.099167,11,12,9,190.04,32.2807082,10000,439.1379404
March,347,42241.19,3231.099167,11,13,,190.04,38.75594492,127.0915132,476.0184035
April,347,42241.19,3231.099167,11,13,,190.04,26.19891785,47.36619989,525.7437168
May,347,42241.19,3231.099167,11,9,0,190.04,41.2312031,182.1624895,410.9474272
June,347,42241.19,3231.099167,11,9,8,190.04,26.8820526,334.9436777,268.1662389
January,348,31087.66,2471.638333,12,14,8,70.82,26.52288661,33.05801212,329.414101
February,348,31087.66,2471.638333,12,9,9,70.82,34.1198758,97.7894616,284.6826515
March,348,31087.66,2471.638333,12,9,8,70.82,29.46747188,104.4919935,257.9801196
April,348,31087.66,2471.638333,12,14,0,70.82,30.38748376,107.5636269,294.9084862
May,348,31087.66,2471.638333,12,9,,70.82,26.63587033,253.1883183,149.2837948
June,348,31087.66,2471.638333,12,9,,70.82,23.07044209,72.75569131,299.7164218
January,349,132414.16,11050.51333,19,33,26,53.73,34.40662869,86.92695747,1258.124376
February,349,132414.16,11050.51333,19,33,25,53.73,29.015579,686.1816462,678.8696872
March,349,132414.16,11050.51333,19,33,25,53.73,42.44061788,142.7001251,1212.351208
April,349,132414.16,11050.51333,19,33,25,53.73,30.75909167,717.3115363,667.739797
May,349,132414.16,11050.51333,19,33,26,53.73,36.95450419,157.1511547,1197.900179
June,349,132414.16,11050.51333,19,33,25,53.73,30.52275466,10000,1031.60792
January,350,92794.04,7562.836667,7,34,,1269.4,26.45381338,118.7900467,887.49362
February,350,92794.04,7562.836667,7,33,,1269.4,27.99127225,918.9577755,127.3258912
March,350,92794.04,7562.836667,7,10,23,1269.4,30.12612266,566.1081534,470.1755133
April,350,92794.04,7562.836667,7,8,20,1269.4,36.894637,451.7440417,564.539625
May,350,92794.04,7562.836667,7,5,21,1269.4,43.09389444,190.2358538,816.0478129
June,350,92794.04,7562.836667,7,7,23,1269.4,33.80757263,282.3693969,723.9142698
January,351,82998.24,7186.52,22,8,20,4879.41,32.66512309,411.4274637,203.3105222
February,351,82998.24,7186.52,22,8,20,4879.41,39.46608335,689.1861354,
March,351,82998.24,7186.52,22,8,,4879.41,37.32479771,419.8152801,184.9227058
April,351,82998.24,7186.52,22,3,,4879.41,38.1934744,132.1382681,462.5997177
May,351,82998.24,7186.52,22,5,17,4879.41,22.44719524,385.9055833,228.8324026
June,351,82998.24,7186.52,22,10,17,4879.41,22.41168093,767.2581277,
January,352,16582.83,1157.9025,14,6,17,471.81,38.65753196,0,301.1851762
February,352,16582.83,1157.9025,14,6,17,471.81,30.21917815,146.4241192,207.341207
March,352,16582.83,1157.9025,14,1,16,471.81,36.49528923,60.2616497,283.5036765
April,352,16582.83,1157.9025,14,6,17,471.81,23.91434191,44.93601303,308.8293131
May,352,16582.83,1157.9025,14,6,,471.81,26.69300966,75.24376225,258.5215639
June,352,16582.83,1157.9025,14,6,,471.81,27.764248,124.1843543,229.5809719
January,353,31896.42,2417.035,4,9,11,1177.43,35.83716316,154.4717305,324.4319917
February,353,31896.42,2417.035,4,9,13,1177.43,25.82137719,53.82718457,425.0765377
March,353,31896.42,2417.035,4,4,13,1177.43,28.16778495,118.2999472,370.603775
April,353,31896.42,2417.035,4,9,13,1177.43,40.31578072,69.35079339,399.5529289
May,353,31896.42,2417.035,4,9,16,1177.43,28.55273248,130.5947333,358.3089889
June,353,31896.42,2417.035,4,9,13,1177.43,37.88903344,117.4738823,371.4298399
January,354,34927,2920.583333,4,9,,1158.55,27.6456154,115.0418943,427.016439
February,354,34927,2920.583333,4,9,,1158.55,32.15550198,230.7965081,331.2618252
March,354,34927,2920.583333,4,18,5,1158.55,31.38110648,60.50918455,481.5491488
April,354,34927,2920.583333,4,23,4,1158.55,27.47095957,54.43583567,487.6224977
May,354,34927,2920.583333,4,19,8,1158.55,36.44548517,76.97695113,465.0813822
June,354,34927,2920.583333,4,19,5,1158.55,29.9555146,62.52269391,469.5356394
January,355,25020.07,1928.005833,10,14,5,94.75,37.80152426,22.80310536,402.931197
February,355,25020.07,1928.005833,10,19,0,94.75,31.61892882,215.1999681,250.5343342
March,355,25020.07,1928.005833,10,17,,94.75,37.80198147,244.8230211,220.9112812
April,355,25020.07,1928.005833,10,19,,94.75,36.36290831,153.6146615,302.1196408
May,355,25020.07,1928.005833,10,14,19,94.75,32.18448412,46.07277174,399.6615306
June,355,25020.07,1928.005833,10,14,19,94.75,30.49497301,93.95225411,371.7820482
January,356,82778.56,7008.213333,30,14,21,1777.73,36.5633131,201.3549911,564.2710253
February,356,82778.56,7008.213333,30,12,0,1777.73,27.46036101,164.1969527,571.4290636
March,356,82778.56,7008.213333,30,14,21,1777.73,34.26604358,76.80930253,658.8167139
