Month,ID,Delay-from-due-date,Num-of-Delayed-Payment,Outstanding-Debt,Credit-Utilization-Ratio,Annual-Income,Debt-to-Income Ratio,Amount-invested-monthly,Monthly-Balance,Default
March,174,19,6,923.85,25.09173299,124419.66,1%,489.4492844,387.2872394,1
April,174,15,6,923.85,39.6747794,124419.66,1%,460.327041,406.0212397,1
May,174,15,0,923.85,39.84859775,124419.66,1%,685.6839887,77.07838234,0
June,174,15,5,923.85,32.81519327,124419.66,1%,384.9861356,128.7155585,0
January,175,15,4,257.85,30.0612628,15606.515,2%,11.91253583,223.4435146,0
February,175,15,4,257.85,33.83458662,15606.515,2%,83.46627906,388.3506734,0
March,175,15,6,257.85,29.05478377,15606.515,2%,110.8730164,321.9050777,1
April,175,15,7,257.85,31.79140125,15606.515,2%,35.99312572,265.5926148,1
May,175,35,23,257.85,26.32681457,15606.515,2%,42.60892273,284.7980916,1
June,175,35,20,257.85,34.19296784,15606.515,2%,116.2624209,435.7751178,1
January,176,35,20,2989.13,28.35377488,28230.92,11%,10000,242.0071935,1
February,176,30,23,2989.13,30.32802113,28230.92,11%,278.5433234,292.364432,1
March,176,39,21,2989.13,31.63443343,28230.92,11%,47.01439107,481.2849045,1
April,176,35,24,2989.13,34.11060485,28230.92,11%,186.0192201,355.9395131,1
May,176,35,23,2989.13,36.07550414,28230.92,11%,194.7423576,401.3193665,1
June,176,33,23,2989.13,26.00590564,28230.92,11%,278.191081,233.5611247,1
January,177,17,16,181.68,25.24975772,10623.765,2%,33.32194172,255.5848048,1
February,177,17,16,181.68,32.99101556,10623.765,2%,21.04730907,257.6728965,1
March,177,17,16,181.68,30.25241705,10623.765,2%,35.27977495,299.7680457,1
April,177,17,14,181.68,36.73851076,10623.765,2%,32.34011518,313.0784401,1
May,177,17,16,181.68,32.39269322,10623.765,2%,106.1434122,284.9538112,1
June,177,18,19,181.68,29.41001565,10623.765,2%,45.37842493,296.4952634,1
January,178,17,16,889.62,33.26282623,11970.955,7%,44.42759779,318.2590595,1
February,178,15,13,889.62,33.8466937,11970.955,7%,109.9436352,260.1243135,1
March,178,23,14,889.62,28.07761032,11970.955,7%,49.99400702,290.0437129,1
April,178,23,14,889.62,39.22939643,11970.955,7%,65.05655859,292.5962099,1
May,178,23,14,889.62,25.76219107,11970.955,7%,106.8432032,290.6817744,1
June,178,23,14,889.62,30.59268898,11970.955,7%,63.83498355,256.1419215,1
January,179,23,14,1358.65,42.06028306,112362.76,1%,163.7235424,197.3207518,1
February,179,23,14,1358.65,36.57227198,112362.76,1%,191.5464789,269.360144,1
March,179,27,14,1358.65,32.73703846,112362.76,1%,255.5696959,288.0327099,1
April,179,23,15,1358.65,33.71460371,112362.76,1%,146.6506006,260.5242287,1
May,179,9,14,1358.65,26.14313661,112362.76,1%,256.6155198,397.9655633,1
June,179,9,14,1358.65,31.40208793,112362.76,1%,204.2274394,352.1858221,1
January,180,9,0,1226.23,30.98273421,33335.24,4%,88.11987223,392.412493,0
February,180,9,13,1226.23,38.09268613,33335.24,4%,148.9713256,390.7634104,1
March,180,9,14,1226.23,38.57620843,33335.24,4%,22.44818432,410.2720136,1
April,180,10,14,1226.23,27.46252398,33335.24,4%,53.05852244,381.8456764,1
May,180,9,14,1226.23,38.51753498,33335.24,4%,59.6921288,295.6461944,1
June,180,9,0,1226.23,37.97942858,33335.24,4%,201.2702606,405.1549233,0
January,181,23,12,816.21,35.46722492,131577.84,1%,239.2669445,265.9570402,1
February,181,18,7,816.21,38.90990945,131577.84,1%,468.3495251,213.1577512,1
March,181,20,9,816.21,40.70004607,131577.84,1%,281.2547725,312.1784566,1
April,181,23,9,816.21,29.59197703,131577.84,1%,585.2536115,221.6393592,1
May,181,23,12,816.21,30.59204017,131577.84,1%,988.994679,199.9411655,1
June,181,23,7,816.21,29.99205292,131577.84,1%,167.3210815,279.4875339,1
January,182,19,9,1339.6,26.92427772,32314.44,4%,270.2810239,301.6015173,1
February,182,23,9,1339.6,36.63151119,32314.44,4%,151.9409799,273.6767524,1
March,182,13,12,1339.6,32.94627527,32314.44,4%,73.39764612,40.19842748,1
April,182,11,11,1339.6,23.66573212,32314.44,4%,176.8415853,370.9129797,1
May,182,16,12,1339.6,30.11502584,32314.44,4%,95.19105821,835.4814696,1
June,182,9,12,1339.6,30.44585275,32314.44,4%,189.4042624,26.76760652,1
January,183,8,12,71.52,38.84510679,61235.6,0%,214.8214093,671.2929675,1
February,183,13,12,71.52,34.26205575,61235.6,0%,,830.8877566,1
March,183,13,11,71.52,32.20393878,61235.6,0%,120.8691196,551.8616461,1
April,183,13,13,71.52,27.37432422,61235.6,0%,173.3238099,857.3182045,1
May,183,11,13,71.52,37.11285823,61235.6,0%,103.4453987,222.4557808,1
June,183,14,0,71.52,32.75305113,61235.6,0%,563.19791,898.1532023,0
January,184,13,13,265.86,37.31055443,4282515,0%,91.65269595,742.0750423,1
February,184,14,13,265.86,23.16393009,19078.93,1%,57.84103191,532.38747,1
March,184,14,13,265.86,29.63214643,19078.93,1%,68.52655644,584.5879767,1
April,184,14,0,265.86,22.81903237,19078.93,1%,140.5061763,814.5845454,0
May,184,14,13,265.86,29.43096295,19078.93,1%,78.81926895,877.9563949,1
June,184,14,14,265.86,30.42834498,19078.93,1%,55.6242093,950.4721388,1
January,185,21,9,4525.08,24.74205399,83703.52,5%,337.6182379,237.7838982,1
February,185,18,9,4525.08,31.78425397,83703.52,5%,10000,127.1003363,1
March,185,18,9,4525.08,40.46506994,83703.52,5%,533.9793107,292.6278713,1
April,185,18,0,4525.08,39.61509803,83703.52,5%,89.17149835,327.3168674,0
May,185,16,10,4525.08,26.02276244,83703.52,5%,122.236813,431.7535852,1
June,185,18,9,4525.08,32.72518549,83703.52,5%,386.6270807,261.1481567,1
January,186,18,9,1126.35,35.0425359,99127.04,1%,,340.7785461,1
February,186,18,9,1126.35,38.1773235,99127.04,1%,194.297459,391.096736,1
March,186,17,20,1126.35,37.25037761,99127.04,1%,65.07212528,595.3165737,1
April,186,15,20,1126.35,31.56061978,99127.04,1%,139.0998511,598.104943,1
May,186,15,22,1126.35,35.89359309,99127.04,1%,148.2089008,745.5185944,1
June,186,15,20,1126.35,32.77576375,99127.04,1%,353.1232655,580.3173206,1
January,187,15,20,2086.22,31.13203623,10405.01,20%,47.82292504,508.6532572,1
February,187,15,20,2086.22,31.70034659,10405.01,20%,45.76944905,276.1837018,1
March,187,15,21,2086.22,24.52577775,10405.01,20%,59.14913717,758.5479309,1
April,187,11,17,2086.22,29.6508883,10405.01,20%,27.70473499,543.1189031,1
May,187,38,0,2086.22,24.29301418,10405.01,20%,25.45425232,411.0629524,1
June,187,38,24,2086.22,36.77139695,10405.01,20%,78.66253233,373.6255364,1
January,188,34,18,429.77,35.83808668,135895.96,0%,239.7467972,177.5566505,1
February,188,38,21,429.77,34.87647096,135895.96,0%,226.8870458,325.2451603,1
March,188,38,24,429.77,32.85264131,135895.96,0%,204.3743466,410.2834554,1
April,188,38,21,429.77,39.48680594,135895.96,0%,166.1480985,467.9920952,1
May,188,38,18,429.77,29.63807373,135895.96,0%,771.7409074,404.9302637,1
June,188,38,23,429.77,35.80489367,135895.96,0%,349.8131963,405.6012579,1
January,189,26,14,1286.07,37.83423279,29608.46,4%,43.06699278,398.5406793,1
February,189,26,14,1286.07,35.21589074,29608.46,4%,79.92624482,405.015188,1
March,189,26,17,1286.07,36.69060867,29608.46,4%,157.8909464,373.7294676,1
April,189,26,14,1286.07,28.69716511,29608.46,4%,161.1720578,352.0316859,1
May,189,28,12,1286.07,30.22208043,29608.46,4%,170.0207938,392.5004253,1
June,189,26,14,1286.07,30.18915883,29608.46,4%,123.8872486,379.0205871,1
January,190,27,14,2593.23,34.82247159,29999.94,9%,259.5470019,216.2477036,1
February,190,29,14,2593.23,31.59554354,29999.94,9%,154.3309048,393.0686026,1
March,190,0,0,2593.23,27.20519819,29999.94,9%,171.3269017,366.1670525,0
April,190,0,2,2593.23,34.20681097,29999.94,9%,47.41092675,422.3902827,0
May,190,0,4,2593.23,33.26689935,29999.94,9%,106.6730371,416.4181361,0
June,190,0,2,2593.23,35.1337263,29999.94,9%,46.35713893,463.3843519,0
January,191,4,2,2196.59,30.95751108,52972.5,4%,121.4630158,321.5030366,0
February,191,0,2,2196.59,34.15992896,52972.5,4%,305.1481465,447.465263,0
March,191,0,2,2196.59,25.20239308,52972.5,4%,521.4244395,417.9811282,0
April,191,-3,2,2196.59,38.11608034,52972.5,4%,234.706057,408.9248535,0
May,191,10,16,2196.59,39.3796369,52972.5,4%,169.8595105,345.3685717,1
June,191,10,13,2196.59,26.5248862,52972.5,4%,389.2894771,353.0481869,1
January,192,10,13,1030.2,37.9987598,113781.39,1%,397.2418458,342.933654,1
February,192,9,13,1030.2,35.94765528,113781.39,1%,661.6240479,327.0782449,1
March,192,10,13,1030.2,43.82963002,113781.39,1%,,290.734223,1
April,192,10,12,1030.2,31.01608629,113781.39,1%,10000,347.3128568,1
May,192,10,12,1030.2,32.03566222,113781.39,1%,758.0831955,251.170929,1
June,192,10,13,1030.2,40.13606162,113781.39,1%,424.0032051,323.8543591,1
January,193,52,17,2098.83,22.70534476,15746.63,13%,119.2646219,420.8247656,1
February,193,52,14,2098.83,28.33175636,15746.63,13%,10000,503.7294746,1
March,193,52,17,2098.83,33.0317882,15746.63,13%,68.36290141,401.6150314,1
April,193,52,0,2098.83,25.3836593,15746.63,13%,102.6226697,441.9150274,1
May,193,52,17,2098.83,26.36631977,15746.63,13%,68.00992312,49.33356508,1
June,193,49,17,2098.83,30.55846069,15746.63,13%,35.0607066,404.8689545,1
January,194,52,20,750.95,29.85368464,97961.96,1%,436.959001,469.2244327,1
February,194,52,17,750.95,36.74848794,97961.96,1%,750.106891,432.7180213,1
March,194,6,4,750.95,27.50672163,16174808,0%,342.7064345,186.0458952,0
April,194,4,5,750.95,31.47786798,97961.96,1%,246.0477422,376.2366464,0
May,194,4,6,750.95,34.21771027,97961.96,1%,313.6705382,342.608508,1
June,194,4,4,750.95,31.38361667,97961.96,1%,162.2220383,355.7104561,0
January,195,4,4,220.33,31.0234949,31895.07,1%,29.85757619,425.4654737,0
February,195,4,4,220.33,39.12536692,31895.07,1%,138.4706234,422.3245645,0
March,195,4,4,220.33,23.82981471,31895.07,1%,164.563631,227.8561247,0
April,195,4,7,220.33,22.87512547,31895.07,1%,132.8401268,324.1637958,1
May,195,29,13,220.33,28.17795966,31895.07,1%,10000,302.9249166,1
June,195,27,13,220.33,29.70376621,31895.07,1%,97.91526493,380.0952191,1
January,196,27,13,957.53,29.96391714,30922.28,3%,10000,344.5155743,1
February,196,31,13,957.53,39.13592406,30922.28,3%,159.5235852,382.2684326,1
March,196,29,13,957.53,38.02427537,30922.28,3%,10000,369.5288588,1
April,196,27,16,957.53,30.00680615,30922.28,3%,314.8471138,398.0121144,1
May,196,27,13,957.53,27.27160375,30922.28,3%,332.4277341,272.9379794,1
June,196,27,13,957.53,34.3805128,30922.28,3%,69.56543935,385.2228026,1
January,197,57,20,761.18,38.79285113,25530.33,3%,201.1848131,233.7777131,1
February,197,57,20,761.18,37.65334446,25530.33,3%,178.0010384,229.1991274,1
March,197,57,19,761.18,31.34545483,25530.33,3%,152.6176845,85.13851653,1
April,197,57,20,761.18,39.40049173,25530.33,3%,104.8856373,307.9070323,1
May,197,57,20,761.18,35.25285683,25530.33,3%,64.22191843,296.9081846,1
June,197,57,22,761.18,24.51880761,25530.33,3%,52.01668424,334.9910971,1
January,198,57,18,226.7,31.05418472,110786.64,0%,1203.105668,306.9567174,1
February,198,57,20,226.7,40.4237034,110786.64,0%,137.9096354,215.9280522,1
March,198,6,9,226.7,28.25978529,110786.64,0%,312.5205277,643.8669321,1
April,198,6,8,226.7,31.45623198,110786.64,0%,196.2040397,732.6858265,1
May,198,6,0,226.7,38.08672417,110786.64,0%,143.4397784,711.3421671,0
June,198,6,8,226.7,37.23256211,110786.64,0%,791.171673,383.2588646,1
January,199,6,8,133.3,39.88622693,39696.98,0%,73.87093984,557.3110826,1
February,199,6,8,133.3,29.99788663,39696.98,0%,67.07328077,609.2891056,1
March,199,6,8,133.3,33.39554451,39696.98,0%,56.24576754,698.8676423,1
April,199,6,8,133.3,28.84416303,39696.98,0%,37.51782483,275.3135581,1
May,199,26,21,133.3,40.14286497,39696.98,0%,44.04731679,301.3545629,1
June,199,28,20,133.3,24.86994727,39696.98,0%,156.7921944,207.1739875,1
January,200,25,0,1396.64,33.27508901,120366.6,1%,177.0411954,179.014845,0
February,200,25,20,1396.64,34.92540164,120366.6,1%,180.553249,161.9335635,1
March,200,25,20,1396.64,29.88963282,120366.6,1%,668.75909,248.6120297,1
April,200,25,17,1396.64,31.95777655,120366.6,1%,252.0971433,324.197238,1
May,200,25,20,1396.64,29.06637861,120366.6,1%,860.4550593,175.6081898,1
June,200,25,20,1396.64,36.7312678,120366.6,1%,95.61296985,179.811678,1
January,201,30,8,1048.26,26.77645687,13074.395,8%,69.25848928,369.5424496,1
February,201,30,8,1048.26,29.66052426,13074.395,8%,53.50098871,311.1607104,1
March,201,30,6,1048.26,31.39360814,13074.395,8%,142.0512865,332.1726566,1
April,201,30,8,1048.26,31.06934157,13074.395,8%,29.13973942,349.2548214,1
May,201,30,8,1048.26,24.83795438,13074.395,8%,77.48992358,353.1617631,1
June,201,30,8,1048.26,32.03317007,13074.395,8%,99.57625859,335.1061886,1
January,202,30,8,50.22,24.53002466,76087.68,0%,424.8286523,407.13453,1
February,202,30,8,50.22,24.19747085,76087.68,0%,155.5644189,387.6804402,1
March,202,11,20,50.22,39.97251079,76087.68,0%,137.1086487,463.4315287,1
April,202,11,20,50.22,24.91935151,76087.68,0%,436.6555754,302.940097,1
May,202,11,20,50.22,23.51605846,76087.68,0%,181.9979988,542.1643443,1
June,202,11,18,50.22,29.26556351,76087.68,0%,133.77535,579.1931575,1
January,203,12,2008,2958.02,32.82321739,51824.94,6%,183.1824693,499.356763,1
February,203,11,20,2958.02,37.61638696,51824.94,6%,288.5911775,597.6932006,1
March,203,11,20,2958.02,27.10976352,51824.94,6%,180.1647813,538.0266441,1
April,203,11,20,2958.02,26.26054824,51824.94,6%,10000,594.2514518,1
May,203,9,9,2958.02,29.49744728,51824.94,6%,508.8561454,380.4551271,1
June,203,11,9,2958.02,25.36116682,51824.94,6%,113.3166443,264.3302207,1
January,204,6,9,117.57,36.90859194,11431.775,1%,94.48374513,172.4573946,1
February,204,9,9,117.57,27.40912534,11431.775,1%,122.2029128,327.4783322,1
March,204,9,9,117.57,29.18712949,11431.775,1%,92.2026398,324.9433192,1
April,204,5,9,117.57,31.41187374,11431.775,1%,119.4583843,322.4835737,1
May,204,9,8,117.57,38.26346785,11431.775,1%,94.2556333,259.4601093,1
June,204,9,11,117.57,31.67681529,11431.775,1%,61.1698314,323.3138755,1
January,205,14,2,1343.01,40.91960544,14224.655,9%,82.13893654,413.4391267,0
February,205,14,0,1343.01,37.18621603,14224.655,9%,186.3400579,92.10264827,0
March,205,11,3,1343.01,34.40577901,14224.655,9%,10000,464.1084257,0
April,205,14,3,1343.01,25.06407174,14224.655,9%,60.70061741,446.5833977,0
May,205,14,2,1343.01,24.57598045,14224.655,9%,150.4874468,414.1780287,0
June,205,18,3,1343.01,30.93956511,14224.655,9%,66.43308506,361.0248479,0
January,206,14,3,282.56,43.85317142,142170.12,0%,183.615297,413.4873477,0
February,206,18,3,282.56,33.89448336,142170.12,0%,206.3628944,376.922645,0
March,206,2,5,282.56,38.4250554,142170.12,0%,511.8085938,303.022982,0
April,206,2,5,282.56,38.3625028,142170.12,0%,216.1021795,414.8641753,0
May,206,-1,0,282.56,23.98679115,142170.12,0%,772.9155703,308.7352751,0
June,206,4,7,282.56,36.79284855,142170.12,0%,301.9379544,379.0302627,1
January,207,1,5,1463.07,36.13163174,19951.765,7%,28.0576725,305.6227913,0
February,207,2,0,1463.07,28.53856056,19951.765,7%,167.5768414,420.5654011,0
March,207,2,0,1463.07,35.6216588,19951.765,7%,145.5041528,330.8948916,0
April,207,2,0,1463.07,32.13058357,19951.765,7%,136.0144559,335.1314153,0
May,207,12,17,1463.07,27.43332279,19951.765,7%,190.4879144,405.6505068,1
June,207,12,17,1463.07,28.12468536,19951.765,7%,100.3095814,401.9950871,1
January,208,12,18,1342.61,26.063001,94454.1,1%,10000,185.97964,1
February,208,12,15,1342.61,41.41181046,94454.1,1%,136.0402933,317.1611418,1
March,208,12,15,1342.61,33.26768901,94454.1,1%,263.2435966,357.3316816,1
April,208,8,15,1342.61,42.79757497,94454.1,1%,10000,413.6869945,1
May,208,12,0,1342.61,36.90780588,94454.1,1%,603.642868,375.5038223,0
June,208,12,0,1342.61,28.68073668,94454.1,1%,445.9738225,370.568977,0
January,209,9,3,1205.36,34.85323049,27063.43,4%,147.8574129,251.6506322,0
February,209,4,1,1205.36,27.45039519,27063.43,4%,76.71262259,337.9268459,0
March,209,6,0,1205.36,22.71324459,27063.43,4%,127.7312558,262.1507971,0
April,209,3,2,1205.36,27.51178711,27063.43,4%,51.16805941,344.1246242,0
May,209,6,0,1205.36,31.45604385,27063.43,4%,84.92441356,272.4514036,0
June,209,1,-3,1205.36,38.60876781,27063.43,4%,292.9888628,319.6685899,0
January,210,6,0,2403.26,34.41585735,36980.1,6%,,298.9898528,0
February,210,10,0,2403.26,31.79097768,36980.1,6%,153.6124198,261.4553742,0
March,210,21,17,2403.26,39.80353575,36980.1,6%,117.2598814,369.6677237,1
April,210,21,17,2403.26,31.9672997,36980.1,6%,183.843608,362.5423544,1
May,210,21,18,2403.26,37.37412128,36980.1,6%,53.01923965,342.5079055,1
June,210,21,20,2403.26,27.33525275,36980.1,6%,139.6899473,290.7764397,1
January,211,22,17,482.88,40.76449784,96582.24,0%,223.2239756,320.1539571,1
February,211,21,17,482.88,39.89636597,96582.24,0%,531.8207314,320.30726,1
March,211,21,0,482.88,42.92788872,96582.24,0%,154.4242383,369.6841215,0
April,211,25,0,482.88,40.48985232,96582.24,0%,129.8720558,325.7206801,0
May,211,18,1,482.88,30.77350287,96582.24,0%,676.2741447,641.6721483,0
June,211,13,4,482.88,34.62904848,96582.24,0%,10000,395.4852492,0
January,212,18,1,1197.33,43.7817528,122978.43,1%,127.5004039,933.6657624,0
February,212,18,0,1197.33,39.80057766,122978.43,1%,361.7049671,207.2761454,0
March,212,18,1,1197.33,41.74926304,122978.43,1%,125.7781046,902.1420668,0
April,212,18,3,1197.33,29.82497334,122978.43,1%,181.3120492,431.2256105,0
May,212,18,0,1197.33,36.89437312,122978.43,1%,294.8405643,929.2338278,0
June,212,18,0,1197.33,33.62865374,122978.43,1%,945.3157293,344.5725781,0
January,213,6,19,2924.76,37.09246095,7821.24,37%,52.61604233,288.2384683,1
February,213,6,17,2924.76,33.86953944,7821.24,37%,14.34630106,257.5943709,1
March,213,6,17,2924.76,36.83861535,7821.24,37%,0,267.4504105,1
April,213,6,16,2924.76,29.86022508,7821.24,37%,41.18558946,278.0178123,1
May,213,6,20,2924.76,28.42147116,7821.24,37%,15.67426787,270.4838564,1
June,213,6,17,2924.76,34.20302638,7821.24,37%,39.93770264,294.812148,1
January,214,2,0,2203.46,26.56320546,30972.54,7%,286.5592868,254.9530376,0
February,214,6,0,2203.46,31.68184075,30972.54,7%,178.8220791,292.6349627,0
March,214,61,24,2203.46,24.18011984,21246612,0%,221.1014443,346.0356564,1
April,214,58,20,2203.46,31.56061012,30972.54,7%,227.054148,346.6311039,1
May,214,61,23,2203.46,32.66670324,30972.54,7%,41.47008709,264.7881528,1
June,214,61,21,2203.46,27.47844745,30972.54,7%,85.64882399,381.2801482,1
January,215,56,19,2518.98,33.80187889,7709.625,33%,10000,392.196098,1
February,215,65,24,2518.98,26.64487356,7709.625,33%,75.96347227,400.6015927,1
March,215,65,0,2518.98,38.0538883,7709.625,33%,73.28892204,107.5263608,1
April,215,61,0,2518.98,39.11021173,7709.625,33%,42.14499119,102.0691452,1
May,215,56,16,2518.98,21.87754393,7709.625,33%,36.52624344,311.199516,1
June,215,60,16,2518.98,35.0967434,7709.625,33%,10000,277.4411683,1
January,216,63,16,939.31,29.28591964,34547.54,3%,129.1514853,285.3305508,1
February,216,61,16,939.31,38.09541823,34547.54,3%,90.33870389,281.019352,1
March,216,61,19,939.31,38.53973896,34547.54,3%,157.2165426,271.7362129,1
April,216,61,14,939.31,29.29975273,34547.54,3%,99.15460652,269.0531639,1
May,216,61,0,939.31,27.16873401,34547.54,3%,10000,261.8815357,1
June,216,61,0,939.31,28.66266628,34547.54,3%,68.56765869,276.4950398,1
January,217,38,15,967.23,37.22879528,173196.32,1%,366.6186098,306.4916244,1
February,217,38,16,967.23,34.10931686,173196.32,1%,459.575633,300.7345012,1
March,217,38,15,967.23,40.80904283,173196.32,1%,283.6913533,149.6890621,1
April,217,38,15,967.23,38.55600111,173196.32,1%,138.6737202,265.1028887,1
May,217,38,0,967.23,32.88428997,173196.32,1%,368.0826932,308.7103902,1
June,217,38,15,967.23,31.04374696,173196.32,1%,1607.303468,318.5853297,1
January,218,42,0,4288.63,26.88303442,20354.85,21%,169.6902262,220.3741653,1
February,218,38,0,4288.63,41.2693593,14089102,0%,61.89568273,270.5712059,1
March,218,29,7,4288.63,26.16781713,20354.85,21%,122.8654468,625.7856023,1
April,218,31,10,4288.63,32.2548644,20354.85,21%,76.44862335,566.7895833,1
May,218,29,10,4288.63,37.78075211,20354.85,21%,66.27787531,636.9031702,1
June,218,29,8,4288.63,25.28365041,20354.85,21%,,600.419335,1
January,219,29,10,2530.66,38.68011674,46113.81,5%,250.4238223,353.2219474,1
February,219,29,10,2530.66,30.30262938,46113.81,5%,51.34392135,506.7518935,1
March,219,29,0,2530.66,23.31608816,46113.81,5%,219.6927141,581.2964897,0
April,219,29,0,2530.66,33.82256664,46113.81,5%,77.59307884,558.7602093,0
May,219,21,11,2530.66,29.24238481,46113.81,5%,108.3783251,254.8194468,1
June,219,26,9,2530.66,33.22526569,46113.81,5%,226.9690419,278.9152176,1
January,220,26,11,1580.91,31.19700553,8882.47,18%,70.77410098,255.860069,1
February,220,31,11,1580.91,34.01248544,8882.47,18%,24.83127782,276.0055175,1
March,220,26,11,1580.91,35.18796764,8882.47,18%,10000,263.9718274,1
April,220,25,12,1580.91,38.88867991,8882.47,18%,51.53144919,277.2702486,1
May,220,26,0,1580.91,32.40223901,8882.47,18%,12.65352944,284.8397563,0
June,220,26,0,1580.91,38.97562897,8882.47,18%,60.30053042,277.1796571,0
January,221,5,3,2626.28,36.32902367,34128.92,8%,273.1118168,376.069951,0
February,221,5,3,2626.28,35.20005148,34128.92,8%,369.7552154,339.9341192,0
March,221,5,3,2626.28,27.28774591,34128.92,8%,128.8601235,263.3989849,0
April,221,5,3,2626.28,29.722301,34128.92,8%,75.57919345,268.0028024,0
May,221,3,4,2626.28,30.03588814,34128.92,8%,21.33816667,674.3818997,0
June,221,7,3,2626.28,30.78794985,34128.92,8%,129.961118,666.7678119,0
January,222,5,0,1092.55,38.83326749,29042.45,4%,52.83439159,656.7110599,0
February,222,5,0,1092.55,25.28985736,29042.45,4%,285.4488206,594.1043802,0
March,222,27,23,1092.55,29.385147,29042.45,4%,133.4239195,277.812525,1
April,222,27,23,1092.55,32.62274452,29042.45,4%,271.2895926,325.1468581,1
May,222,27,23,1092.55,28.1024505,29042.45,4%,205.5976543,314.9865613,1
June,222,27,23,1092.55,30.15377576,29042.45,4%,185.4565715,221.964852,1
January,223,31,24,643.89,31.04380471,26716.09,2%,305.9489183,298.6828975,1
February,223,31,23,643.89,34.06736752,26716.09,2%,75.5072653,335.0386882,1
March,223,29,0,643.89,38.01262323,26716.09,2%,120.5765523,256.1313472,0
April,223,27,0,643.89,34.97426951,26716.09,2%,90.82554382,298.9116613,0
May,223,18,6,643.89,25.82185515,26716.09,2%,55.20220983,490.5581022,1
June,223,14,8,643.89,37.83086639,26716.09,2%,48.80847457,584.1471399,1
January,224,14,9,4685.34,38.95828946,74733.44,6%,254.722734,0,1
February,224,14,5,4685.34,34.23841964,74733.44,6%,118.7467631,484.0259088,0
March,224,17,6,4685.34,37.24163751,74733.44,6%,329.2058043,337.2300599,1
April,224,14,3,4685.34,26.095717,74733.44,6%,222.6676507,536.2477096,0
May,224,14,0,4685.34,39.57432108,74733.44,6%,10000,612.9310047,0
June,224,12,0,4685.34,30.21536385,74733.44,6%,301.521998,651.88953,0
January,225,21,8,2216.25,38.82494754,8681.77,26%,19.40893719,332.5206354,1
February,225,17,8,2216.25,34.82948247,8681.77,26%,74.03237012,418.0107352,1
March,225,17,8,2216.25,37.14897502,8681.77,26%,29.29636405,349.8835461,1
April,225,21,0,2216.25,32.84784586,8681.77,26%,19.78674346,455.6490495,0
May,225,12,8,2216.25,25.11907225,8681.77,26%,29.82338857,338.4545682,1
June,225,17,11,2216.25,30.13739362,8681.77,26%,58.54435129,382.969797,1
January,226,18,0,1669.84,30.5359304,10034.55,17%,21.1408012,304.8561042,0
February,226,20,0,1669.84,34.17519004,10034.55,17%,10000,442.5277661,0
March,226,23,14,1669.84,33.9217596,10034.55,17%,33.24412162,216.1538873,1
April,226,23,14,1669.84,36.04425815,10034.55,17%,43.06053266,290.7693068,1
May,226,23,14,1669.84,28.97138651,10034.55,17%,66.8642172,253.7176246,1
June,226,27,11,1669.84,30.47046807,10034.55,17%,21.91732534,291.529414,1
January,227,23,0,1118.37,29.79642124,20540.49,5%,25.47029346,311.9552779,0
February,227,23,14,1118.37,27.40953712,20540.49,5%,18.18591758,313.6858346,1
March,227,23,0,1118.37,23.63363691,20540.49,5%,39.92357152,315.1822312,0
April,227,23,0,1118.37,39.05399905,20540.49,5%,45.20116977,211.8277625,0
May,227,29,0,1118.37,36.18479598,20540.49,5%,141.0747127,245.9522395,0
June,227,29,17,1118.37,28.02889354,20540.49,5%,66.66293187,403.3730142,1
January,228,26,15,315.36,31.08087477,38175.39,1%,161.4185877,578.1949712,1
February,228,29,15,315.36,40.1309824,38175.39,1%,231.1654509,413.3385009,1
March,228,31,15,315.36,30.02466312,38175.39,1%,68.03590698,302.3299106,1
April,228,29,15,315.36,33.49406918,38175.39,1%,327.2140527,608.441419,1
May,228,29,0,315.36,33.36505517,38175.39,1%,242.673184,549.3746327,0
June,228,31,0,315.36,24.12409145,38175.39,1%,122.3535865,434.1492514,1
January,229,45,19,1124.02,29.57051958,116594.91,1%,170.4958135,233.2348839,1
February,229,45,19,1124.02,35.21704912,116594.91,1%,410.2661461,230.1643827,1
March,229,48,18,1124.02,39.66605557,116594.91,1%,216.441338,293.4424301,1
April,229,42,17,1124.02,38.30246518,116594.91,1%,,237.2043308,1
May,229,50,16,1124.02,35.76066968,116594.91,1%,339.8581191,266.2963565,1
June,229,45,17,1124.02,39.01238019,116594.91,1%,356.382464,207.4823516,1
January,230,45,0,86.43,27.85034159,24894.05,0%,32.42887831,243.3412073,1
February,230,45,0,86.43,36.22204782,24894.05,0%,86.23276546,259.4070517,1
March,230,17,10,86.43,37.43352458,24894.05,0%,240.9318283,808.6933307,1
April,230,14,9,86.43,40.24016596,24894.05,0%,10000,774.721184,1
May,230,14,10,86.43,32.76881407,24894.05,0%,111.5333125,627.3828524,1
June,230,14,0,86.43,28.87088487,24894.05,0%,10000,602.3245823,0
January,231,14,10,2206.86,38.24463199,39399.9,6%,317.9129512,752.4310359,1
February,231,14,8,2206.86,22.6906878,39399.9,6%,193.8628759,724.8495655,1
March,231,16,0,2206.86,37.22612684,39399.9,6%,152.9151628,471.6095637,0
April,231,14,0,2206.86,29.45015859,39399.9,6%,87.35828461,376.5880358,0
May,231,13,9,2206.86,35.20964158,39399.9,6%,195.475668,589.3015246,1
June,231,13,8,2206.86,33.37275171,39399.9,6%,309.4610082,764.4416192,1
